ProductID,ProductName,ProductPrice,SupplierPrice,Category,SubCategory
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",13097.0,10478.0,Furniture,Bookcases
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",12098.0,10404.0,Furniture,Bookcases
FUR-BO-10000362,Sauder Inglewood Library Bookcases,17098.0,13165.0,Furniture,Bookcases
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,4858.0,4081.0,Furniture,Bookcases
FUR-BO-10000711,"Hon Metal Bookcases, Gray",7098.0,5182.0,Furniture,Bookcases
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,20098.0,16882.0,Furniture,Bookcases
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,12098.0,10888.0,Furniture,Bookcases
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,5814.0,4419.0,Furniture,Bookcases
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",10098.0,9391.0,Furniture,Bookcases
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",13097.0,10609.0,Furniture,Bookcases
FUR-BO-10001608,"Hon Metal Bookcases, Black",7098.0,5324.0,Furniture,Bookcases
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,8498.0,6628.0,Furniture,Bookcases
FUR-BO-10001798,Bush Somerset Collection Bookcase,13097.0,11002.0,Furniture,Bookcases
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",30098.0,21069.0,Furniture,Bookcases
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",16097.0,14327.0,Furniture,Bookcases
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,12098.0,10041.0,Furniture,Bookcases
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",24098.0,17110.0,Furniture,Bookcases
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",14097.0,13252.0,Furniture,Bookcases
FUR-BO-10005000,"Sauder Forest Hills Library, Woodland Oak Finish",14097.0,12969.0,Furniture,Bookcases
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,50098.0,40579.0,Furniture,Bookcases
FUR-BO-10002268,Sauder Barrister Bookcases,8098.0,6559.0,Furniture,Bookcases
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",26098.0,19313.0,Furniture,Bookcases
FUR-BO-10002598,"Hon Metal Bookcases, Putty",7098.0,5040.0,Furniture,Bookcases
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",28098.0,19669.0,Furniture,Bookcases
FUR-BO-10002824,Bush Mission Pointe Library,15097.0,12078.0,Furniture,Bookcases
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,8194.0,6146.0,Furniture,Bookcases
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",17098.0,13849.0,Furniture,Bookcases
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",13097.0,11002.0,Furniture,Bookcases
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",11498.0,10463.0,Furniture,Bookcases
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,22098.0,19888.0,Furniture,Bookcases
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",43098.0,40512.0,Furniture,Bookcases
FUR-BO-10003433,Sauder Cornerstone Collection Library,3098.0,2881.0,Furniture,Bookcases
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",10098.0,7775.0,Furniture,Bookcases
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",5798.0,5334.0,Furniture,Bookcases
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,10098.0,7573.0,Furniture,Bookcases
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",22098.0,17015.0,Furniture,Bookcases
FUR-BO-10003893,Sauder Camden County Collection Library,11498.0,9198.0,Furniture,Bookcases
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",7098.0,4969.0,Furniture,Bookcases
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,18098.0,16107.0,Furniture,Bookcases
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",17098.0,14362.0,Furniture,Bookcases
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",11999.0,9359.0,Furniture,Bookcases
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",14097.0,11278.0,Furniture,Bookcases
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,20098.0,18088.0,Furniture,Bookcases
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,16097.0,14005.0,Furniture,Bookcases
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",7098.0,5111.0,Furniture,Bookcases
FUR-BO-10004467,Bestar Classic Bookcase,9999.0,8098.0,Furniture,Bookcases
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,13747.0,12786.0,Furniture,Bookcases
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,18098.0,13935.0,Furniture,Bookcases
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",5798.0,4522.0,Furniture,Bookcases
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",88098.0,67835.0,Furniture,Bookcases
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,21660.0,16028.0,Furniture,Chairs
